YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2024,1,JAN,EDLW,Dortmund,Germany,849,8494.451054181944,2974.014200981353,123000,67140,3900,165,278,56798.6060145,31937.3378175,829,4683.032854384156,394.87987661541507,42924,9504,35000,544,786,2554.448573499999,453.4237135,Dortmund (EDLW)
2024,1,JAN,EDMA,Augsburg,Germany,167,3335.685384804155,1913.539874931607,67500,48720,3761.111111111111,9,21,3843.9518843999995,2548.3077304000003,169,1005.8483575293089,480.302183941914,17967,11387,18000,118,146,928.2563695,178.2258295,Augsburg (EDMA)
2024,1,JAN,EDME,Eggenfelden,Germany,23,401.88843359721903,387.59757686575807,12620,12280,4291.111111111111,4,4,40.35912700000001,40.977577000000004,21,73.17865320625789,73.17865320625789,2120,2120,6000,13,13,7.882874999999999,7.882874999999999,Eggenfelden (EDME)
2024,1,JAN,EDML,Landshut,Germany,4,36.087113030957504,36.087113030957504,860,860,19000,3,3,3.34425,3.34425,1,0,0,0,0,19000,1,1,0,0,Landshut (EDML)
2024,1,JAN,EDMO,Oberpfaffenhofen,Germany,178,2774.466313115931,1010.1527541051771,39560,18700,4738.67302052786,22,50,4728.0432973,2622.8179846,167,782.7581777312081,7.003822341598659,8020,80,26000,120,166,1134.3730808,-1.5870749999999998,Oberpfaffenhofen (EDMO)
2024,1,JAN,EDMS,Straubing,Germany,45,715.339443592499,569.730507893282,16968,14628,4469.566544566544,8,9,285.8067687,172.9454967,42,201.17041360219,190.834500663313,4980,4860,11501.5625,32,34,34.451629,14.559714999999999,Straubing (EDMS)
2024,1,JAN,EDMV,Vilshofen,Germany,10,38.023225390631104,32.57271803499311,820,720,9497.641509433959,5,7,20.60625,16.19625,6,0,0,0,0,21000,6,6,0,0,Vilshofen (EDMV)
2024,1,JAN,EDNL,Leutkirch Unterzeil,Germany,6,8.1212244427109,8.1212244427109,180,180,13500,4,4,-0.4766999999999999,-0.4766999999999999,4,0,0,0,0,23000,4,4,0,0,Leutkirch Unterzeil (EDNL)
2024,1,JAN,EDNR,Regensburg Oberhub,Germany,2,0,0,0,0,6000,2,2,0,0,,,,,,,,,,,Regensburg Oberhub (EDNR)
2024,1,JAN,EDNY,Friedrichshafen,Germany,325,5107.37145113117,2326.786157542961,82740,55780,4360,53,93,11643.3107054,5217.941017199999,310,1502.958347126973,402.387724823972,20260,10400,23500,224,297,1845.8860672000003,409.93676000000005,Friedrichshafen (EDNY)
